       sourse  shift_x_81  shift_y_81  shift_x_84  shift_y_84  shift_x_121  shift_y_121
58   0710+439           0           0           0           0            0            0
59   0716+714           0           0           0           0            0            0
60   0716+714          -2           0          -2           0            0            0
61   0723-008           0           0           0           0            0            0
62   0727-115           0           0           0           0            0            0
63   0730+504           0           0           0           0            0            0
64   0735+178           0          -2           0          -3            0           -2
65   0736+017           0           0           0           0            0            0
66   0738+313           0           0           1           0            0            0
67   0742+103           2           1           2           1            1            1
68   0748+126           0           0           0           0            0            0
69   0754+100           1          -1           1          -1            0            0
70   0804+499           0           0           0           0            0            0
71   0805-077           0           0           0           0            0            0
72   0808+019           0           0           0           0            0            0
73   0814+425           0           0           0           0            0            0
74   0823+033           0           0           0           0            0            0
75   0827+243           0           0           0           0            0            0
76   0829+046           0           0           0           0            0            0
77   0834-201           0           0           0           0            0            0
78   0834-201           0           0           0           0            0            0
79   0836+710           1          -1           1          -1            0            0
80   0847-120           0           0           0           0            0            0
81   0847-120           0           2           1           1            1            1
82   0851+202           0           0           0           0            0            0
83   0859-140           3           1           0           0            0            0
84   0906+015           0           0           0           0            0            0
85   0917+624           0           0           0           0            0            0
86   0923+392           0          -1           1          -1            1           -3
87   0945+408           0          -1           0           0            0            0
88   0953+254           0          -1           0          -1            0            0
89   0954+658           0           0           0           0            0            0
90   0955+476           0           0           0           0            0            0
91   1015+359           1           0           1           0            0            0
92   1036+054           1           0           0           0           -1            0
93   1038+064           0           0           0           0            0            0
94   1045-188           0           0           0           0            0            0
95   1055+018           0           0           0           0            0            0
96   1101+384           0           0           0           0            0            0
97   1124-186           0           0           0           0            0            0
98   1127-145           0           1           0           1            0            1
99   1128-047           0           1          -1           1            0            0
100  1128-047           3           0           2           0            1            0
101  1148-001          -1           0          -1           0            0            0
102  1150+812           0           0           0           0            0            0
103  1156+295           0           0           0           0            0            0
104  1213-172           0           0           0           0            0            0
105  1219+044           0           0           0           0            0            0
106  1219+285           0           0           0           0            0            0
107  1219+285           0           0           0           0            0            0
108  1222+216           0           0           0           0            0            0
109  1226+023          -5           4          -4           3            1           -1
110  1226+023          -1           0          -1           0            0            0
111  1228+126           0           0           0           0            0            0
112  1243-072           0           0           0           0            0            0
113  1253-055           0           0          -1           1            0            0
114  1253-055           0           0           0           0            0            0
115  1302-102          -4           2          -3           2           -1            0
116  1308+326           0           0           0           0            0            0
117  1324+224           0           0           0           0            0            0
118  1331+170           0           0           0           0            0            0
119  1331+170          -2           0          -1           0           -1            0
120  1334-127           0           0           0           0            0            0
121  1345+125           0           0           0           0            0            0
122  1404+286          -1           1          -1           1            0            0
123  1406-076           0           0           0           0            0            0
124  1413+135           0           0           0           0            0            0
125  1417+385           0           0           0           0            0            0
126  1418+546           0           0           0           0            0            0
127  1418+546           0           0           0           0            0            0
128  1458+718           0           0           0           0            0            0
129  1502+106           0           0           0           0            0            0
130  1504-166           3           0           2           0            1            0
131  1508-055           0           0           0           0            0            0
132  1509+054           0           1           0           0            0            0
133  1509+054           0           0           0           0            0            0
134  1510-089           0           0           0           0            0            0
135  1514+004           0           0           0           0            0            0
136  1514-241           1           0           0           0            0            0
137  1532+016           0           0           0           0            0            0
138  1538+149           1           1           1           1            1            1
139  1546+027           0           0           0           0            0            0
140  1548+056           0           0           0           0            0            0
141  1606+106           0           0           0           0            0            0
142  1607+268           0           0           0           0            0            0
143  1611+343           0           0           0           0            0            0
144  1633+382           0           0           0           0            0            0
145  1637+574           0           0           0           0            0            0
146  1637+826           0           0           0           0            0            0
147  1638+398           0           0           0           0            0            0
148  1641+399           0          -1           0           0            0            0
149  1642+690           0           0           0           0            0            0
150  1652+398           0           0          -1           0            0            0
151  1655+077           0           0           0           0            0            0
152  1725+044           0           0           0           0            0            0
153  1726+455           0           0           0           0            0            0
154  1730-130           2           0           1           0            1            0
155  1739+522           0           0           0           0            0            0
156  1741-038           1           0           1           0            1            0
157  1749+096           0           0           0           0            0            0
158  1749+701           0           0           0           0            0            0
159  1751+288           0           0           0           0            0            0
160  1758+388           0           0           0           0            0            0
161  1800+440           0           0           0           0            0            0
162  1803+784           0           0           0           0            0            0
163  1807+698           0          -1           0           1            0            0
164  1823+568           0           0          -1           0            0            0
165  1828+487           0           0           0           0            0            0
166  1845+797           0           0           0           0            0            0
167  1849+670           0           0           0           0            0            0
168  1901+319           0           1           0           1            0            0
169  1908-201           0           0           0           0            0            0
170  1928+738           3           1           3           1            1            0
171  1936-155           0           0           0           0            0            0
172  1957+405           1           4           1           3            0           -1
173  1958-179           0           0           0           0            0            0
174  2005+403           0          -2           0          -1            0            0
175  2008-159           0           0           0           0            0            0
176  2021+317           0           0           0           0            0            0
177  2021+614           0           1           0           0            0            0
178  2022-077           0           0           0           0            0            0
179  2037+511           0           0           0           0            0            0
180  2113+293           0           0           0           0            0            0
181  2121+053          -1           0          -1           1            0            1
182  2126-158           0           0           0           0            0            0
183  2128-123           1          -1           1          -1            1           -1
184  2131-021           0           0           0           0            0            0
185  2134+004           0           1           0           1           -4           18
186  2136+141           1           0           1           0            0            0
187  2141+175           0           0           0           0            0            0
188  2145+067           0           0           0           0            0            0
189  2155-152           1          -1           1          -1            1            0
190  2200+420           0           0           0           0            0            0
191  2200+420           0           0           0           0            0            0
192  2201+171           0           0           0           0            0            0
193  2201+315          -1           1          -1           1            0            0
194  2209+236          -1           0           0           0            0            0
195  2216-038           0           0           0           0            0            0
196  2223-052           0           0           0           0            0            0
197  2227-088           0           0           0           0            0            0
198  2230+114           0           0           0           0            0            0
199  2243-123          -1           0          -1           0            0            0
200  2251+158           0          -1           0          -1            0           -1
201  2251+158           0           0           0           0            0            0
202  2254+074           0           0           0           0            0            0
203  2320-035           0           0           0           0            0            0
204  2331+073           0          -1           0          -1            0            0
205  2345-167           0           0           0           0            0            0
206  2351+456           0          -1           0          -1            0           -1
207  2356+196           0           0           0           0            0            0
208  2356+196           0           0           0           0            0            0
